borrower_id,age,occupation,monthly_income,income_consistency_score,utility_delay_days,debt_to_income_ratio,active_loans,upi_transactions,previous_default,loan_status
BORR00099,27,Delivery Partner,20575.0,60,7,0.605,1,80,0,0
BORR00100,23,Freelancer,46658.58,37,6,0.769,1,31,0,1
BORR00101,53,Freelancer,45296.03,40,4,0.573,3,71,0,1
BORR00102,22,Delivery Partner,17474.72,75,1,0.299,0,204,0,1
BORR00103,36,Delivery Partner,30846.69,90,1,0.231,1,113,0,1
BORR00104,45,Delivery Partner,28645.15,85,1,0.359,1,109,0,1
BORR00105,35,Driver,21619.27,92,0,0.296,0,222,0,1
BORR00106,44,Freelancer,51984.8,87,0,0.247,0,126,0,1
BORR00107,35,Kirana Owner,35428.89,72,2,0.252,1,175,0,1
BORR00108,51,Delivery Partner,16024.6,73,1,0.325,0,176,0,1
BORR00109,34,Freelancer,12995.57,80,0,0.285,0,188,0,1
BORR00110,34,Delivery Partner,15544.41,27,13,0.852,1,78,1,0
BORR00111,26,Small Business Owner,32997.47,88,1,0.255,0,106,0,1
BORR00112,34,Delivery Partner,15346.61,69,8,0.709,2,121,1,0
BORR00113,37,Small Business Owner,45636.69,77,0,0.424,0,101,0,1
BORR00114,38,Freelancer,14821.0,74,0,0.417,0,251,0,1
BORR00115,40,Delivery Partner,36031.34,74,0,0.217,1,155,0,1
BORR00116,37,Freelancer,44772.77,78,0,0.26,0,184,0,1
BORR00117,36,Freelancer,21209.94,74,0,0.348,1,169,0,1
BORR00118,60,Freelancer,31140.55,74,1,0.241,0,213,0,1
BORR00119,59,Delivery Partner,27983.11,67,2,0.219,0,96,0,1
BORR00120,52,Delivery Partner,26226.49,77,1,0.151,0,154,1,0
BORR00121,29,Delivery Partner,25992.98,71,1,0.241,2,190,0,1
BORR00122,47,Delivery Partner,36984.66,71,1,0.212,1,128,0,1
BORR00123,53,Driver,28696.03,77,1,0.261,1,104,0,1
BORR00124,30,Kirana Owner,34902.3,47,9,0.98,2,108,1,0
BORR00125,37,Small Business Owner,86266.14,95,2,0.304,2,170,0,1
BORR00126,56,Driver,22249.94,71,1,0.139,0,175,0,0
BORR00127,37,Freelancer,19808.59,85,0,0.264,2,192,0,1
BORR00128,38,Small Business Owner,59472.65,75,0,0.223,0,125,0,1
BORR00129,43,Delivery Partner,26479.69,42,12,0.98,2,117,1,0
BORR00130,54,Driver,28831.05,98,3,0.215,0,203,0,1
BORR00131,28,Small Business Owner,40632.52,68,1,0.161,0,195,0,1
BORR00132,33,Kirana Owner,46350.9,79,0,0.184,1,119,0,1
BORR00133,43,Kirana Owner,40924.13,33,8,0.7,1,23,0,0
BORR00134,40,Freelancer,19485.31,92,2,0.194,1,210,0,1
BORR00135,42,Kirana Owner,67861.05,69,1,0.207,0,161,0,1
BORR00136,43,Freelancer,18958.77,88,1,0.252,0,226,0,1
BORR00137,55,Freelancer,43672.01,78,2,0.406,2,163,1,1
BORR00138,23,Delivery Partner,19072.9,60,0,0.286,1,190,0,1
BORR00139,54,Small Business Owner,79309.17,77,1,0.295,2,150,0,1
BORR00140,53,Delivery Partner,24934.78,85,0,0.258,1,198,0,1
BORR00141,37,Freelancer,50887.77,92,0,0.248,1,165,0,1
BORR00142,39,Small Business Owner,47084.43,80,1,0.302,0,177,0,1
BORR00143,50,Kirana Owner,48180.73,77,1,0.184,2,164,0,1
BORR00144,43,Driver,19731.13,60,1,0.296,0,104,0,1
BORR00145,35,Driver,20900.15,81,1,0.163,1,158,1,1
BORR00146,34,Kirana Owner,29524.26,63,11,0.633,4,85,1,0
BORR00147,22,Freelancer,15810.74,75,1,0.254,0,188,0,1
BORR00148,59,Delivery Partner,31835.0,87,1,0.25,0,160,0,1
BORR00149,38,Driver,20817.19,20,9,0.792,2,127,0,0
BORR00150,26,Kirana Owner,58329.22,83,0,0.278,1,76,0,0
BORR00151,52,Driver,16852.0,69,1,0.277,1,160,0,1
BORR00152,41,Small Business Owner,67111.98,64,1,0.258,1,161,0,1
BORR00153,60,Driver,24192.67,53,7,0.897,2,79,1,0
BORR00154,48,Small Business Owner,35410.03,65,1,0.238,1,136,0,1
BORR00155,47,Small Business Owner,32897.77,89,0,0.281,0,142,0,1
BORR00156,22,Kirana Owner,35487.42,80,3,0.196,0,191,0,1
BORR00157,53,Delivery Partner,23057.14,97,0,0.177,0,146,0,0
BORR00158,36,Kirana Owner,63907.08,82,3,0.342,0,167,0,1
BORR00159,59,Kirana Owner,44891.82,92,1,0.2,1,173,0,1
BORR00160,42,Kirana Owner,59728.37,82,1,0.163,0,156,0,1
BORR00161,33,Freelancer,27395.84,89,0,0.271,1,137,1,1
BORR00162,22,Freelancer,44582.14,78,0,0.237,1,212,0,1
BORR00163,34,Kirana Owner,38656.24,91,2,0.251,0,153,0,1
BORR00164,58,Delivery Partner,22796.78,87,1,0.248,0,200,0,1
BORR00165,48,Kirana Owner,28957.44,34,4,0.753,2,130,0,0
BORR00166,27,Small Business Owner,59218.95,87,0,0.132,0,101,0,1
BORR00167,38,Driver,30934.61,85,0,0.322,1,170,1,1
BORR00168,56,Driver,26991.33,59,1,0.367,2,209,1,0
BORR00169,56,Driver,28188.59,38,4,0.896,2,97,0,1
BORR00170,24,Small Business Owner,39880.38,89,0,0.264,1,177,0,1
BORR00171,50,Delivery Partner,36392.21,56,0,0.308,0,219,0,1
BORR00172,44,Kirana Owner,49643.68,69,8,0.806,1,103,0,0
BORR00173,40,Kirana Owner,51820.1,82,2,0.293,0,180,0,1
BORR00174,51,Delivery Partner,32385.01,79,0,0.316,1,121,0,1
BORR00175,44,Freelancer,33847.86,100,0,0.283,0,242,1,1
BORR00176,27,Delivery Partner,36760.48,85,2,0.289,0,164,0,1
BORR00177,46,Kirana Owner,74920.52,73,2,0.351,0,193,0,1
BORR00178,33,Freelancer,48162.81,75,0,0.256,1,199,0,1
BORR00179,28,Kirana Owner,53078.52,87,0,0.21,1,150,0,1
BORR00180,25,Kirana Owner,58788.77,32,1,0.666,1,101,0,0
BORR00181,33,Freelancer,53098.3,75,2,0.267,0,191,0,1
BORR00182,49,Small Business Owner,24230.77,32,4,0.801,4,68,0,0
BORR00183,40,Delivery Partner,16981.53,68,0,0.226,0,99,0,1
BORR00184,34,Small Business Owner,76398.04,87,1,0.298,2,205,0,1
BORR00185,52,Small Business Owner,30322.67,73,3,0.326,1,182,0,1
BORR00186,47,Kirana Owner,73030.63,85,0,0.33,0,187,0,1
BORR00187,45,Driver,14787.88,96,0,0.166,0,140,0,1
BORR00188,24,Driver,22037.22,59,0,0.274,1,152,0,1
BORR00189,41,Freelancer,12912.09,74,1,0.181,0,189,0,1
BORR00190,38,Freelancer,32822.49,56,1,0.17,2,233,0,1
BORR00191,59,Delivery Partner,15029.31,34,5,0.715,2,84,0,0
BORR00192,35,Driver,30046.93,90,2,0.158,0,153,0,1
BORR00193,58,Kirana Owner,43888.15,71,1,0.185,0,139,0,1
BORR00194,44,Kirana Owner,67619.27,82,2,0.168,0,204,0,1
BORR00195,28,Delivery Partner,23650.22,81,2,0.175,0,228,0,1
BORR00196,48,Small Business Owner,63999.65,82,0,0.348,1,124,0,1
BORR00197,41,Driver,22862.14,85,1,0.184,1,178,0,1
BORR00198,36,Delivery Partner,33415.68,84,1,0.443,0,163,0,1
BORR00199,36,Small Business Owner,47600.41,73,1,0.024,0,191,0,1
BORR00200,55,Small Business Owner,74391.43,74,1,0.269,0,155,0,1
BORR00201,37,Small Business Owner,79337.5,63,1,0.261,1,156,1,1
BORR00202,29,Kirana Owner,27777.03,38,2,0.98,2,91,0,0
BORR00203,55,Small Business Owner,38360.99,53,9,0.905,4,90,0,0
BORR00204,49,Freelancer,50899.07,95,0,0.151,0,133,0,1
BORR00205,59,Kirana Owner,55907.35,68,1,0.098,1,150,0,1
BORR00206,38,Delivery Partner,24422.54,37,2,0.647,1,126,0,1
BORR00207,32,Freelancer,25203.14,28,9,0.798,1,105,1,0
BORR00208,39,Driver,14609.18,75,2,0.236,0,202,0,1
BORR00209,42,Driver,15967.38,55,10,0.516,2,76,0,0
BORR00210,35,Kirana Owner,55243.73,53,2,0.923,3,119,0,0
BORR00211,21,Driver,22741.13,80,0,0.303,0,196,0,1
BORR00212,22,Delivery Partner,31002.24,68,1,0.269,2,161,0,1
BORR00213,28,Kirana Owner,51674.12,67,2,0.171,0,150,0,1
BORR00214,42,Delivery Partner,33756.31,80,3,0.453,0,130,0,0
BORR00215,45,Kirana Owner,37764.36,64,0,0.259,0,131,0,1
BORR00216,22,Small Business Owner,59151.74,89,2,0.197,0,168,0,1
BORR00217,29,Freelancer,12944.31,81,1,0.166,0,142,0,1
BORR00218,29,Delivery Partner,33197.33,89,0,0.201,0,150,1,1
BORR00219,33,Driver,26143.28,83,1,0.218,0,123,0,1
BORR00220,26,Delivery Partner,21030.15,77,1,0.244,0,186,0,1
BORR00221,50,Kirana Owner,56640.45,88,0,0.144,1,144,0,0
BORR00222,35,Freelancer,28065.76,78,2,0.207,0,176,0,1
BORR00223,35,Kirana Owner,53463.65,48,6,0.779,4,87,1,0
BORR00224,27,Kirana Owner,64298.22,61,1,0.296,0,228,0,1
BORR00225,31,Delivery Partner,20999.67,77,1,0.32,0,135,0,1
BORR00226,60,Driver,17597.76,70,3,0.229,1,155,0,0
BORR00227,58,Delivery Partner,23804.83,71,2,0.277,0,137,0,1
BORR00228,60,Kirana Owner,60063.65,73,0,0.15,0,169,0,1
BORR00229,22,Small Business Owner,66084.99,83,0,0.197,1,143,0,1
BORR00230,59,Delivery Partner,21681.78,68,1,0.159,0,119,0,1
BORR00231,30,Kirana Owner,43453.62,65,1,0.26,0,169,0,1
BORR00232,37,Delivery Partner,20044.06,60,2,0.295,0,196,0,1
BORR00233,27,Kirana Owner,69805.28,82,1,0.064,0,124,0,1
BORR00234,60,Driver,22592.29,85,1,0.232,0,148,0,1
BORR00235,59,Driver,16135.62,73,1,0.167,1,169,0,1
BORR00236,24,Small Business Owner,30747.67,73,2,0.315,1,175,0,0
BORR00237,55,Kirana Owner,62886.89,87,1,0.372,1,141,0,1
BORR00238,56,Kirana Owner,41111.4,16,8,0.53,2,44,1,0
BORR00239,51,Kirana Owner,37515.56,82,1,0.128,0,184,0,1
BORR00240,45,Kirana Owner,65567.96,80,1,0.222,0,109,0,1
BORR00241,33,Kirana Owner,67766.47,68,2,0.209,0,109,0,1
BORR00242,38,Delivery Partner,32995.51,82,0,0.186,2,189,0,1
BORR00243,41,Kirana Owner,33210.06,80,0,0.393,0,126,0,1
BORR00244,21,Driver,23001.42,72,1,0.329,0,88,0,0
BORR00245,56,Delivery Partner,12404.99,46,11,0.617,2,61,1,1
BORR00246,28,Kirana Owner,72466.66,64,1,0.157,1,111,0,1
BORR00247,41,Delivery Partner,31221.36,86,3,0.401,1,143,0,1
BORR00248,41,Kirana Owner,53340.78,80,1,0.404,0,168,0,1
BORR00249,47,Small Business Owner,66468.73,79,0,0.14,1,106,1,1
BORR00250,39,Delivery Partner,30596.88,79,1,0.367,1,184,0,1
BORR00251,43,Kirana Owner,74993.92,82,3,0.381,1,174,0,1
BORR00252,55,Delivery Partner,15526.61,63,1,0.374,1,170,0,1
BORR00253,60,Kirana Owner,48404.36,100,1,0.152,1,181,0,1
BORR00254,25,Small Business Owner,73517.03,85,1,0.182,1,236,0,1
BORR00255,28,Freelancer,50087.11,33,3,0.606,4,100,0,1
BORR00256,31,Kirana Owner,51224.75,96,2,0.299,1,166,0,1
BORR00257,36,Small Business Owner,36509.01,82,1,0.296,0,159,0,1
BORR00258,59,Delivery Partner,16635.76,97,0,0.243,0,163,0,1
BORR00259,44,Kirana Owner,43936.6,99,1,0.212,0,250,0,1
BORR00260,41,Kirana Owner,53765.16,54,6,0.635,2,132,1,0
BORR00261,43,Freelancer,56999.03,78,1,0.189,0,129,0,1
BORR00262,58,Delivery Partner,21274.29,77,0,0.218,0,121,1,1
BORR00263,28,Freelancer,32062.27,42,2,0.845,4,81,0,1
BORR00264,27,Delivery Partner,18721.45,86,0,0.239,1,144,0,1
BORR00265,22,Kirana Owner,52201.18,68,0,0.267,1,174,0,1
BORR00266,50,Small Business Owner,72566.21,76,0,0.306,1,100,0,1
BORR00267,33,Freelancer,27978.63,56,4,0.299,0,174,0,1
BORR00268,43,Small Business Owner,33898.67,68,0,0.163,0,164,0,1
BORR00269,49,Small Business Owner,56162.46,79,1,0.148,0,147,0,1
BORR00270,58,Delivery Partner,28442.43,84,0,0.321,0,125,0,1
BORR00271,57,Kirana Owner,66860.59,88,1,0.243,2,216,0,1
BORR00272,40,Kirana Owner,35632.17,79,1,0.394,1,128,0,1
BORR00273,53,Delivery Partner,27893.8,72,2,0.264,0,130,0,1
BORR00274,49,Freelancer,37616.61,72,0,0.297,0,192,0,1
BORR00275,35,Small Business Owner,43281.5,71,0,0.263,0,117,0,1
BORR00276,43,Small Business Owner,54333.3,98,0,0.217,0,128,0,1
BORR00277,23,Delivery Partner,26972.66,74,1,0.418,0,143,0,1
BORR00278,57,Small Business Owner,45216.17,82,2,0.233,0,162,1,1
BORR00279,49,Freelancer,23668.62,76,1,0.173,0,138,0,1
BORR00280,28,Delivery Partner,23260.89,84,1,0.371,1,97,0,1
BORR00281,42,Delivery Partner,26903.69,68,0,0.272,0,167,0,1
BORR00282,49,Small Business Owner,39029.11,73,1,0.411,1,207,0,1
BORR00283,22,Driver,30483.12,83,1,0.163,0,168,0,1
BORR00284,21,Freelancer,15379.29,38,6,0.714,2,99,0,1
BORR00285,40,Delivery Partner,27589.39,85,2,0.271,0,191,0,1
BORR00286,41,Kirana Owner,47783.63,62,3,0.648,3,97,0,1
BORR00287,57,Delivery Partner,17945.16,78,1,0.433,1,174,1,1
BORR00288,28,Kirana Owner,47700.91,76,0,0.279,2,154,1,1
BORR00289,47,Driver,26427.3,76,1,0.372,0,164,0,0
BORR00290,55,Kirana Owner,30609.13,86,2,0.254,1,132,0,1
BORR00291,26,Freelancer,29114.66,22,7,0.702,3,53,1,0
BORR00292,39,Freelancer,39676.08,48,8,0.762,1,101,0,1
BORR00293,38,Kirana Owner,41315.99,66,1,0.32,1,140,0,1
BORR00294,21,Kirana Owner,40696.19,64,0,0.137,0,182,0,1
BORR00295,45,Driver,17182.21,31,7,0.904,4,28,0,0
BORR00296,47,Small Business Owner,68283.55,76,1,0.253,0,123,0,1
BORR00297,27,Kirana Owner,65824.5,77,0,0.261,1,180,0,1
BORR00298,49,Kirana Owner,53668.49,93,0,0.364,0,108,0,1
BORR00299,51,Driver,17163.19,81,0,0.327,0,153,0,1
BORR00300,56,Small Business Owner,29028.26,23,6,0.569,2,81,0,0
BORR00301,39,Kirana Owner,29386.98,36,5,0.47,3,96,0,1
BORR00302,26,Small Business Owner,49960.21,77,0,0.115,0,91,1,1
BORR00303,45,Freelancer,24147.67,79,1,0.143,2,167,0,1
BORR00304,51,Kirana Owner,43602.69,77,1,0.303,1,164,0,0
BORR00305,29,Driver,19317.09,80,1,0.295,0,233,0,1
BORR00306,40,Kirana Owner,51070.97,82,1,0.021,0,210,0,1
BORR00307,30,Kirana Owner,29966.34,87,0,0.146,2,183,0,0
BORR00308,57,Kirana Owner,45498.1,87,0,0.313,2,141,0,1
BORR00309,47,Delivery Partner,20037.88,82,0,0.213,0,208,0,1
BORR00310,33,Small Business Owner,43103.46,91,0,0.277,1,191,0,1
BORR00311,22,Driver,17321.22,81,1,0.193,1,157,0,1
BORR00312,41,Kirana Owner,53384.59,50,5,0.691,4,25,0,0
BORR00313,53,Kirana Owner,46867.5,26,6,0.716,3,22,1,0
BORR00314,44,Driver,27091.22,92,2,0.286,1,147,0,1
BORR00315,54,Kirana Owner,52848.13,72,1,0.259,0,148,0,1
BORR00316,29,Delivery Partner,33423.53,87,2,0.242,1,186,0,1
BORR00317,22,Driver,15963.43,93,1,0.335,2,260,0,1
BORR00318,50,Freelancer,54440.06,69,1,0.343,0,161,0,1
BORR00319,42,Kirana Owner,37094.62,36,7,0.691,1,94,0,1
BORR00320,31,Driver,20523.64,87,0,0.071,1,193,1,1
BORR00321,37,Kirana Owner,38655.51,82,2,0.168,0,156,0,1
BORR00322,56,Driver,28010.71,75,0,0.317,2,108,0,1
BORR00323,33,Driver,26727.74,81,1,0.363,0,189,0,1
BORR00324,27,Small Business Owner,36986.27,85,0,0.22,0,186,0,1
BORR00325,36,Driver,25274.14,87,1,0.352,1,197,0,1
BORR00326,53,Delivery Partner,22726.81,93,2,0.227,0,142,0,1
BORR00327,21,Kirana Owner,68378.53,72,1,0.162,1,195,0,1
BORR00328,31,Kirana Owner,65435.56,90,0,0.252,1,76,0,1
BORR00329,26,Driver,23574.24,98,2,0.226,1,195,0,1
BORR00330,40,Freelancer,21287.5,83,1,0.204,0,162,0,1
BORR00331,55,Driver,16292.1,93,0,0.349,1,192,0,1
BORR00332,57,Small Business Owner,60837.12,76,0,0.143,1,192,0,1
BORR00333,46,Delivery Partner,28840.17,59,8,0.629,1,52,1,1
BORR00334,32,Delivery Partner,18505.31,53,7,0.587,4,119,0,0
BORR00335,50,Delivery Partner,13348.7,50,11,0.584,1,115,0,0
BORR00336,48,Kirana Owner,46968.72,32,8,0.62,1,92,0,0
BORR00337,47,Delivery Partner,24634.37,67,3,0.148,0,249,0,1
BORR00338,39,Small Business Owner,26837.36,88,0,0.208,0,105,0,1
BORR00339,25,Delivery Partner,32767.2,87,1,0.293,1,199,0,0
BORR00340,25,Driver,14276.93,36,7,0.677,2,125,0,1
BORR00341,47,Small Business Owner,65404.34,85,0,0.364,1,100,0,1
BORR00342,48,Delivery Partner,30163.68,82,0,0.281,0,214,0,1
BORR00343,46,Small Business Owner,56950.03,73,0,0.209,1,161,0,1
BORR00344,47,Delivery Partner,20621.21,82,1,0.284,0,136,0,1
BORR00345,41,Delivery Partner,33899.58,69,2,0.209,0,162,0,1
BORR00346,21,Kirana Owner,43357.4,74,3,0.314,0,169,0,1
BORR00347,48,Kirana Owner,53540.96,70,1,0.164,0,161,0,1
BORR00348,35,Small Business Owner,66589.06,63,13,0.61,1,70,1,0
BORR00349,37,Freelancer,39523.41,75,1,0.261,0,188,0,1
BORR00350,46,Kirana Owner,62700.48,73,1,0.227,0,240,0,1
BORR00351,40,Kirana Owner,63203.69,71,1,0.282,0,173,0,1
BORR00352,45,Delivery Partner,24247.54,85,0,0.31,1,206,0,0
BORR00353,33,Driver,26026.91,84,1,0.324,1,120,0,1
BORR00354,53,Delivery Partner,12270.67,72,8,0.516,2,83,1,1
BORR00355,45,Driver,17413.27,73,3,0.671,3,91,1,1
BORR00356,28,Small Business Owner,37381.15,49,4,0.219,1,119,0,1
BORR00357,25,Delivery Partner,14368.46,26,6,0.98,1,60,0,0
BORR00358,26,Freelancer,51342.77,90,0,0.256,1,158,0,1
BORR00359,43,Delivery Partner,25453.62,76,0,0.363,0,218,1,1
BORR00360,50,Freelancer,21906.0,67,2,0.296,0,194,0,1
BORR00361,34,Kirana Owner,64372.72,96,1,0.26,0,139,0,1
BORR00362,43,Kirana Owner,41200.85,62,1,0.245,1,206,0,1
BORR00363,31,Small Business Owner,62675.37,66,1,0.248,1,179,0,1
BORR00364,51,Small Business Owner,48150.16,69,0,0.331,2,175,0,1
BORR00365,26,Small Business Owner,32024.43,71,1,0.256,1,110,0,1
BORR00366,31,Delivery Partner,26679.97,92,0,0.219,0,113,0,1
BORR00367,33,Freelancer,27675.08,76,0,0.194,1,277,0,1
BORR00368,32,Kirana Owner,61463.94,100,0,0.309,0,153,0,1
BORR00369,22,Kirana Owner,61573.26,59,2,0.322,0,235,0,1
BORR00370,55,Delivery Partner,14341.85,57,4,0.611,1,29,1,0
BORR00371,56,Small Business Owner,51455.99,44,4,0.774,2,118,0,0
BORR00372,37,Driver,12202.28,41,8,0.834,4,37,0,0
BORR00373,48,Delivery Partner,30493.12,48,8,0.851,3,90,0,0
BORR00374,48,Delivery Partner,31233.63,75,0,0.264,1,177,0,1
BORR00375,42,Kirana Owner,46772.38,49,9,0.877,3,129,0,0
BORR00376,58,Delivery Partner,31708.79,71,1,0.325,0,190,0,1
BORR00377,27,Delivery Partner,27034.92,78,0,0.262,2,143,1,1
BORR00378,35,Small Business Owner,56817.68,54,7,0.35,3,90,1,0
BORR00379,52,Driver,28602.92,57,1,0.223,1,88,0,0
BORR00380,31,Freelancer,14909.39,98,2,0.241,1,104,1,1
BORR00381,44,Kirana Owner,42656.34,46,11,0.674,2,92,0,1
BORR00382,23,Delivery Partner,28082.43,83,1,0.303,0,105,0,1
BORR00383,50,Delivery Partner,23245.23,82,2,0.266,0,194,0,1
BORR00384,26,Driver,27684.64,81,0,0.264,0,121,0,1
BORR00385,22,Driver,20812.28,72,0,0.143,1,158,0,0
